idref_wrong,idref_corrected
226115259,076131564
263340651,181824531
191055921,060648368
27150174X,031911676
271837195,274274159
154008915,028587227
183300173,088948293
196200911,048652032
27350343X,253125731
190601523,029397251
030334128,114030626
243124090,076700100
18305704X,272183369
147050219,165444193
 136511740,136511740
176728910,075005387
0730858L,17232081X
033837643,033674833
257044469,081890427
221481737,030377161
121921433,152779264
072292385,029071437
259361003,087545020
268384460,188739297
266063780,116443766
193052563,110993934
20403583X,034463682
19304479X,060238348
197150152,086821970
270409939,058494715
260643858,083020020
234082704,031770754
248351486,154708895
167740148,076442624
251640183,071394109
174490798,177071125
174348878,181528266
165261315,195542495
259860964,101346980
137533845,086088130
074587889,057362068
Michel,028818059
25756697X,069744726
242616798,069960682
162085729,07737374X
112641822,026711303
25283934X,255579500
262778351,182510077
249105616,248974246
242523013,259855766
175349215,087670631
033237328,136936466
233304886,097660337
158930703,158931696
097641383,085594342
19607911X,07453873X
059058528,066907039
237634589,157658678
22492219X,151813620
201749564,230314600
Turbulenc,08894719X
166438308,183641191
http://www.idref.fr/174451954/id,174451954
159349087,083665900
234885904,052198979
167966731,169244520
151771936,095006966
233030239,071459308
https://www.idref.fr/151186812,151186812
https://www.idref.fr/031849725,031849725
235903728,225371723
129039683,029822661
1484416896,148416896
170052656,033968802
167523252,223563633
30246636,030246636
199606013,059281197
253681030,083020020
121757994,157805425
201733013,029006759
132887479,083020020
074782258,074782487
236368176,153710225
224222074,178946710
126125384,174220790
22659873X,174426070
Jean-Marc,076430480
257148051,051634759
201770571,153573279
260558311,192460773
192722387,252507231
https://www.idref.fr/089424697,089424697
156726440,154994251
230819915,178682632
253646650,252717147
PREX2,060098368
074642308,029231493
225538679,267116497
249880571,279331134
054374103,057638012
149834195,136643019
097670219,152322752
266227945,261117173
http://www.idref.fr/112451713/id,112451713
19823760X,198237715
153563605,031748929
260407798,066893321
192591169,057667950
093666802,068858329
241303109,242252060
145417735,22611385X
24424278X,068883986
176522654,076056856
198497946,074531379
270683305,256963339
168889943,070964025
144367947,06723173X
086202251,068651902
180900404,159901502
185733301,18886346X
191812854,196142229
https://www.idref.fr/165407441,165407441
270948708,096558318
0000-0003-2525-2303,256191050
17759098X,185931723
non,276298411
166398721,165006218
Pierre,101467575
07409968X,077450221
178534412,144644932
226458385,07100128X
Agathe,18847904X
232352674,185876765
Sylvia,085551961
114633444,188365052
176957138,160868823
252983815,165976462
243289499,160497868
176554378,071016635
0000-0001-8912-6117,075960850
155500104,166075930
183002490,150837828
23045142X,069863288
128139315,031890067
Identifiant de la notice :,074569627
271678062,072611669
133425258,150733348
187861099,163772568
114014663,087487438
121460770,083727299
268410992,060763744
23019754X,050663356
070488096,032356668
166641863,119631776
253126789,123023793
077344782,139449108
119457830,103261761
164129243,029556112
192908057,074001973
223487724,200365541
273698230,229662129
072401346,07240129X
236459163,083866655
191539732,031916627
030624363,033482586
253131847,143773402
073990043,086094289
143423304,230406726
133005216Copier cet identifiant (PPN),133005216
http://www.idref.fr/203150732/id,203150732
http://www.idref.fr/149475543/id,149475543
http://www.idref.fr/076586162/id,076586162
http://www.idref.fr/232377545/id,232377545
279426119,122520246
R-7557-2016,204802318
O-7485-2017,115244271
263647641,241928931
275095207,114217319
076697339,176757694
150647859,280131372
25738670X,245179992
20169400X,084712309
273752995,25596398X